CNNIndonesia.csv,detikcom.csv,tvOneNews.csv,VIVAcoid.csv
1588483913093378048,1598141003046830083,1560531279837220864,1576460016911253504
1588468527400615937,1598115474390323201,1560511669280813056,1576433684466786304
1588458694810882048,1598090478909636608,1560162096481898496,1576203559372484608
1588440915844075520,1598046299282149403,1560148005256568833,1576190223989489664
1588356335619702785,1597962477576376320,1559863120440737792,1575809479505252353
1588325328098762752,1597936464876244992,1559802721292541952,1575784283465482240
1588156414093991936,1597923367121731586,1559453122249912320,1575674187213320192
1588088841490944001,1597921747776454656,1559423362148868096,1575534889688236032
1588046235344437248,1597912477647474690,1559053030149853184,1575534406198263808
1588018619015102464,1597900422991253504,1559045482793422848,1575441780665098246
1587983467182264321,1597879655763173376,1558794067836022784,1575400386927939584
1587977163499745280,1597868176372649984,1558747539184050176,1575312299237474304
1587947414861668352,1597855881034612737,1558630127935795201,1575311928700055553
1587786570936918028,1597850400127950848,1558601320491151360,1575255806395940864
1587752036203831296,1597846856859516928,1558565071357239298,1574772375857827841
1587740697113014274,1597830541541253120,1558424915354652672,1574759409766772737
1587691031818309632,1597827393837752320,1558321207136493568,1574732744663633920
1587632302816837633,1597821280849387520,1558318720967393280,1574664673894727681
1587611972711088128,1597818195531939840,1558273162604793856,1574607409628459008
1587579367508480000,1597816204189638656,1558047790143418369,1574447860053331969
1587441480141897728,1597812712049971200,1558032051692900352,1574325314444226561
1587430135656943616,1597801095367168001,1557986263277268992,1574052135456894976
1587329562072928257,1597788581359239168,1557942257260457987,1573968068921139202
1587313685977890816,1597596517036081154,1557898340485935104,1573935224773570560
1587263155457040384,1597595810421772288,1557881092723445760,1573881878666674177
1587237312509149184,1597566109732978689,1557715552034238464,1573864142188204032
1587234285546655744,1597559709539737600,1557630625578127361,1573680942262423553
1587052551223930881,1597555631325683713,1557629421967720448,1573632854294409218
1587049527701549056,1597544873015508993,1557367724929495041,1573590344855597057
1587006424701206529,1597542144893485057,1557155298766336000,1573508551414550529
1587001888272048129,1597511409553883136,1557025958472740864,1573454060241690625
1586942905263935488,1597507132622094336,1557021790324416517,1573283069691588610
1586920974175330305,1597482460257845248,1556990462325493760,1573252155922055172
1586878888705425408,1597475820725059584,1556322561390047234,1573149942335819776
1586838558173630464,1597447431179964417,1556303686665572353,1573147417721315334
1586631394729799681,1597446532852236288,1556179850079059968,1573133062313246720
1586629126454407168,1597429443185856513,1556074284128223232,1572860772145074178
1586589561622171648,1597420735420571648,1555766763484090369,1572617429788020739
1586218849007206400,1597382325461028865,1554981846391218176,1572589737608880128
1586157112698097664,1597372736770293762,1554438383778140161,1572524679528853505
1586105956580331520,1597290666681372673,1554090594384764929,1572502312136085510
1585961823219912705,1597215172837474304,1554036979473338368,1572208733945745409
1585914701363699712,1597179799964979201,1553321012862668800,1572015319111335936
1585874005088735232,1597139308011454465,1553238594583552000,1571870286592745473
1585828524731944960,1597124039872770048,1552443719558696960,1571787576322981890
1585821720937889793,1597123264450625536,1551505048324124673,1571630666437238785
1585817942197170179,1597122008151740416,1551178150796673024,1571556294569631744
1585806856819077120,1597117017663881222,1551091456655257600,1571342398646788099
1585668523774607361,1597114887423107072,1551030292839669760,1571131117515968514
1585632484544614400,1597071676097036288,1550969899052240896,1571061465716764675
1585574282033532929,1597061444813541376,1549981718131929088,1571016147591471105
1585535732059639808,1597014419749601280,1549955458756005889,1570950806341578757
1585488871550517248,1596860110835519495,1548629469656600576,1570745623435149313
1585474509427343360,1596827236438507526,1548617021989916672,1570604154049142787
1585454100506095617,1596780729773748226,1548564173503639552,1570553091489136640
1585433442745212928,1596769170808619009,1548491056538210307,1570456297207889920
1585427142942212097,1596684260005629953,1548279317884416001,1570292980933873667
1585269673918013440,1596529692059779074,1548198709459947528,1570270739802259456
1585244732115951621,1596510472106233857,1548184536357298177,1570250188228546560
1585231125630156800,1596487803638005760,1547856632180133888,1570171313381322754
1585203920221396992,1596476024166006787,1547416888761729025,1570023613377703936
1585097863893118976,1596410985912434690,1547401257895112705,1569929975863865354
1585088291292188673,1596394935951187968,1547192381585231872,1569687864853798919
1584913462446391305,1596326809938927621,1547039158127828992,1569591350127132675
1584887008186753024,1596304311289536512,1546902734179164160,1569554604790259712
1584869625539330048,1596285402834698240,1546055142419550209,1569533489841840130
1584843927542059008,1596215876633649161,1545848533940441088,1569447550599729153
1584833348903784449,1596079937345097728,1545603654035595264,1569277292677070848
1584812945095430144,1596075235157200898,1544944192614309889,1569253769350873088
1584786999558303744,1596056568340090880,1544245745112346624,1569183052664033282
1584740654332383232,1596037094824099840,1544035335658647553,1569139645698682880
1584712946005180417,1596011971631091714,1543798527565869057,1569122257724915713
1584690024196763648,1596005511773634560,1543376472961867782,1568994666540048386
1584452994061717505,1595930872934375424,1543241015150399489,1568929490415554560
1584389749841633280,1595715501333757952,1542743186530975744,1568792860228722688
1584347459006107648,1595712019814121475,1542599897915920384,1568481157809065985
1584345946988892160,1595617733558865921,1542223409463013376,1568425417853501443
1584093836799660034,1595591182733742083,1542056069207191552,1568203582817849345
1584079485564899329,1595415869856907266,1541983067413155841,1568193913772711941
1584033906612793344,1595378656947453958,1541748934095187969,1568155294626377729
1584018041909628928,1595367884502564866,1541713008757739520,1568146586123014145
1583980272785461248,1595358322617716738,1541385750632988673,1568063927132762112
1583930159224086528,1595346392574312449,1541383863015944192,1567812003783385090
1583809040823382018,1595346030757040128,1540909482540077057,1567684539648180224
1583734760395808768,1595339144951222274,1540697457297743872,1567514566564904960
1583728464032473088,1595286513096327168,1540486327350677504,1567386459417776129
1583654374680788992,1595274733775364096,1540364905542320129,1567160213152890880
1583433088428019713,1595263616076247041,1539987163273519104,1567159479069999105
1583407151963176960,1595243185688682496,1539812524308463616,1567127111613448192
1583397081301274629,1595078821375799297,1539522218622799872,1566803116313710592
1583283264747282432,1595027398717853703,1539443325085708288,1566790769842999297
1583276893444390913,1595023288740233216,1539337895688822784,1566556479024672768
1583270924933300224,1594937071201812481,1539216569804259328,1566474204656336899
1583229125015195648,1594858462701572101,1538915622859333633,1566448778579972097
1583214015928754181,1594706498558562312,1538844139210481664,1566228941240946688
1583126891585683457,1594686667931131908,1538748423750291456,1566032649915101184
1583096164064251905,1594681882456821761,1537572369971048449,1565985475516854272
1583070980955549697,1594661918354145281,1537389835547070466,1565983823493754880
1583041268438794240,1594647823529689088,1537284124351660033,1565731546589700097
1583009790082441217,1594580206911688705,1536665048420012033,1565495510655713280
1582961442994917378,1594553855571894272,1536620888002506752,1565484030468177920
1582938274846617601,1594513737209155584,1536539582401249281,1565385257096196096
1582932986940764162,1594507369488302081,1536410117830168577,1565362743934603264
1582921909083463680,1594328927811604483,1536327306465013761,1565226598475104256
1582914503708229634,1594178725645467651,1536230905982775296,1565151088831246337
